JNAME,P0,DM
J1840-0140_P,1.926820,279.70
J1840-0144_P,1.101690,277.90
J1840-0245_P,1.502000,277.00
J1840-0445,0.422316,379.00
J1840-0559,0.859368,319.10
J1840-0626,1.893353,748.00
J1840-0643,0.035578,494.00
J1840-0753,0.437869,691.00
J1840-0809,0.955674,350.07
J1840-0815,1.096442,233.75
J1840-0840,5.309377,285.20
J1840-09,0.003089,169.00
J1840-1122,0.940962,311.00
J1840-1207,0.754470,290.90
J1840-1419,6.597563,19.40
J1841+0112_P,0.178420,152.60
J1841+0130,0.029773,125.88
J1841+0217_P,0.296720,233.40
J1841+0235_P,0.258630,193.60
J1841+0912,0.381320,49.16
J1841-0053_P,1.432890,439.50
J1841-0123_P,0.003790,308.20
J1841-0157,0.663332,475.21
J1841-0238_P,0.884040,165.90
J1841-0258_P,0.596300,355.70
J1841-0310,1.657656,216.00
J1841-0345,0.204106,196.64
J1841-04,,29.00
J1841-0425,0.186149,325.49
J1841-0456,11.788978,
J1841-05,1.088510,274.00
J1841-0500,0.912916,532.00
J1841-0524,0.445810,284.50
J1841-1404,1.334557,267.00
J1841-7845,0.353603,41.00
J1842+0114_P,4.140000,307.00
J1842+0131_P,1.590270,115.40
J1842+0257,3.088256,146.00
J1842+0357_P,0.672530,194.10
J1842+0358,0.233326,109.90
J1842+0407_P,0.003940,101.70
J1842+0638,0.313016,212.20
J1842+1332,0.471604,102.40
J1842-0138_P,0.002710,209.90
J1842-0148_P,0.428940,450.90
J1842-0153,1.054228,427.20
J1842-0309,0.404920,955.00
J1842-0359,1.839945,196.36
J1842-0415,0.526682,183.78
J1842-06,0.360777,539.00
J1842-0612,0.564475,485.00
J1842-0800,1.255469,188.60
J1842-0905,0.344650,343.10
J1842-27,0.815269,62.00
J1842-39,0.374000,47.60
J1843+0119,1.266998,252.10
J1843+0333_P,0.823250,294.40
J1843+0526_P,2.034970,250.50
J1843+2024,3.406539,85.30
J1843-0000,0.880336,101.36
J1843-0038_P,0.585580,607.50
J1843-0050,0.782598,507.00
J1843-0051_P,0.580000,573.00
J1843-0128_P,2.164890,450.80
J1843-0137,0.669872,486.00
J1843-0147_P,,531.00
J1843-0157_P,0.508860,751.00
J1843-0207_P,0.457310,455.70
J1843-0211,2.027533,441.18
J1843-0236_P,0.946090,242.00
J1843-0310_P,0.285150,1290.00
J1843-0355,0.132314,797.70
J1843-0408,0.781934,246.00
J1843-0459,0.754964,444.64
J1843-0510,0.671614,257.00
J1843-0702,0.191615,228.60
J1843-0744,0.475393,321.00
J1843-0757,2.031940,254.00
J1843-0806,0.536424,216.92
J1843-1113,0.001846,59.96
J1843-1448,0.005471,114.54
J1843-1507,0.583550,215.50
J1843-40,0.324187,66.00
J1844+00,0.460503,346.60
J1844+0028,0.003571,181.09
J1844+0115,0.004186,148.25
J1844+0144_P,1.505600,373.00
J1844+0315_P,0.318910,23.00
J1844+0455_P,0.004700,241.40
J1844+1454,0.375465,41.49
J1844+21,0.595900,28.00
J1844+41,0.915700,50.00
J1844-0030,0.641101,604.51
J1844-0127_P,0.029140,368.10
J1844-0128,0.029144,368.18
J1844-0134_P,2.697200,357.70
J1844-0136_P,0.417240,901.00
J1844-0142_P,0.348720,794.50
J1844-02,0.581535,336.00
J1844-0202_P,0.761450,628.00
J1844-0223_P,0.924990,305.60
J1844-0244,0.507722,422.13
J1844-0256,0.272963,826.00
J1844-03,6.971300,
J1844-0302,1.198630,533.00
J1844-0310,0.525049,836.10
J1844-0346,0.112855,
J1844-0433,0.991030,123.16
J1844-0452,0.269443,626.00
J1844-0502,0.335163,318.00
J1844-0538,0.255704,411.71
J1844-09,0.634445,415.00
J1845+0104_P,0.006710,94.90
J1845+0201_P,0.004309,56.65
J1845+0317_P,0.001851,77.26
J1845+0326_P,0.968000,144.00
J1845+0417_P,1.697000,164.00
J1845+0623,1.421654,115.72
J1845+21,3.755600,50.00
J1845-0008_P,1.268000,143.00
J1845-0028_P,0.084500,301.00
J1845-0103_P,0.099060,750.10
J1845-0118_P,1.718730,573.50
J1845-0142_P,0.126200,564.00
J1845-0144_P,0.593960,937.70
J1845-0229A_,0.657720,832.00
J1845-0229B_,0.463050,846.00
J1845-0243_P,0.345260,747.00
J1845-0254_P,0.492660,735.00
J1845-0316,0.207636,500.00
J1845-0434,0.486760,229.85
J1845-0545,1.092356,316.26
J1845-0635,0.340529,414.50
J1845-0743,0.104695,281.02
J1845-0826,0.634354,228.20
J1845-1114,0.206221,210.27
J1845-1351,2.618918,197.40
J1846+0014_P,0.006660,230.00
J1846+0051,0.434380,140.55
J1846+0153_P,2.052520,322.70
J1846+0336_P,1.512730,296.00
J1846+0507_P,0.003070,101.60
J1846+0657_P,2.244050,224.20
J1846+0919,0.225552,
J1846-0200_P,0.668390,97.70
J1846-0211_P,0.788170,838.00
J1846-0253_P,2.209440,992.00
J1846-0257,4.476723,237.00
J1846-0258,0.326571,
J1846-05,1.444985,474.00
J1846-0500,0.476636,405.39
J1846-0513,0.023370,310.73
J1846-0749,0.350110,389.13
J1846-07492,0.861380,190.80
J1846-4249,2.273000,62.00
J1846-7403,4.878839,97.00
J1847+01,0.003463,20.10
J1847+0110_P,0.006530,183.40
J1847+0133_P,2.846910,193.80
J1847+0148_P,0.602460,314.70
J1847+0342_P,0.004290,81.10
J1847+0614_P,1.663020,270.50
J1847-0046_P,,337.00
J1847-0048_P,0.582470,667.00
J1847-0052_P,0.332530,626.50
J1847-0130,6.707046,667.00
J1847-0308_P,29.769300,149.80
J1847-0402,0.597809,141.98
J1847-0427,0.259247,188.30
J1847-0438,0.957999,234.80
J1847-0443,0.340832,455.00
J1847-05,2.618070,170.00
J1847-0605,0.778167,206.47
J1848+0127_P,0.534020,77.00
J1848+0150,3.290150,500.80
J1848+0351,0.191443,336.60
J1848+0604,2.218605,240.47
J1848+0647,0.505957,27.90
J1848+0826,0.328665,90.68
J1848+12,0.754730,139.00
J1848+1245_P,0.248230,100.00
J1848+1516,2.233770,77.44
J1848+26,0.629000,64.00
J1848-0023,0.537625,34.96
J1848-0044_P,0.005550,227.70
J1848-0055,0.274557,1166.00
J1848-0123,0.659436,159.99
J1848-0129A,0.019784,490.00
J1848-0511,1.637129,418.00
J1848-0601,0.225004,496.60
J1848-1150,1.312218,163.40
J1848-1243,0.414383,91.96
J1848-1414,0.297770,134.47
J1848-1952,4.308190,18.23
J1849+0001,0.525650,188.20
J1849+0009,1.318431,505.10
J1849+0016_P,0.001810,271.40
J1849+0034_P,1.105450,487.10
J1849+0037_P,0.396490,611.50
J1849+0106,1.832259,216.24
J1849+0127,0.542155,207.00
J1849+0225_P,1.474520,259.90
J1849+0304_P,0.001790,146.70
J1849+0329_P,0.004500,152.10
J1849+0339_P,1.666720,349.50
J1849+0409,0.761194,63.97
J1849+0430,0.421126,191.00
J1849+0619_P,2.011000,110.00
J1849+0623_P,0.014590,129.40
J1849+1001,0.035189,79.56
J1849+1043_P,0.971400,134.20
J1849+2423,0.275641,62.27
J1849+2559,0.519263,75.00
J1849-0001,0.038523,
J1849-0014,0.491754,345.90
J1849-0019_P,0.911370,513.20
J1849-0040,0.672481,1267.60
J1849-0145_P,0.674170,682.50
J1849-0200_P,0.326770,883.00
J1849-0317,0.668422,39.62
J1849-0614,0.953384,118.14
J1849-0636,1.451362,148.17
J1850+0011_P,0.167540,506.50
J1850+0026,1.081844,200.98
J1850+0124,0.003560,118.88
J1850+0242,0.004480,540.07
J1850+0423,0.290716,265.80
J1850+0707_P,0.033930,160.80
J1850+0724_P,0.468890,117.80
J1850+0824_P,1.013160,74.10
J1850+0845_P,0.048310,201.10
J1850+0956_P,0.003240,99.70
J1850+1335,0.345583,60.14
J1850+15,1.383965,25.00
J1850-0002,0.893355,541.70
J1850-0004_P,,154.00
J1850-0006,2.191498,655.00
J1850-0020,1.574737,602.80
J1850-0026,0.166634,947.00
J1850-0031,0.734185,895.00
J1850-0050_P,0.221520,1060.00
J1851+00,0.022847,107.60
J1851+0037_P,2.523730,424.00
J1851+0051_P,4.027000,575.00
J1851+0056_P,0.291100,332.30
J1851+0118,0.906977,418.00
J1851+0233,0.344018,606.00
J1851+0241,4.491318,524.30
J1851+0347_P,2.141450,439.60
J1851+0418,0.284698,115.34
J1851+0500_P,2.327380,341.30
J1851+0843_P,0.288910,246.30
J1851+10,0.867862,188.70
J1851+1021_P,0.867860,191.20
J1851+1259,1.205313,70.63
J1851-0014_P,0.162130,319.80
J1851-0029,0.518724,521.11
J1851-0053,1.409066,24.43
J1851-0108_P,0.087080,669.60
J1851-0114,0.953182,427.20
J1851-0241,0.435194,515.00
J1851-0633,1.920302,229.10
J1852+0008,0.467894,255.40
J1852+0013,0.957751,545.00
J1852+0018,0.318763,454.80
J1852+0031,2.180195,787.00
J1852+0033,11.558713,
J1852+0040,0.104913,
J1852+0056_P,1.177790,905.70
J1852+0158_P,0.185730,607.50
J1852+0305,1.326149,320.00
J1852+0309_P,0.005580,358.00
J1852+0421_P,3.160920,294.30
J1852+0857_P,3.772140,85.90
J1852+1200,0.003866,68.05
J1852-0000,1.920666,593.10
J1852-0002_P,0.245100,558.10
J1852-0024,0.355429,292.31
J1852-0033,1.369012,321.60
J1852-0039,0.802905,354.00
J1852-0044_P,0.002410,272.90
J1852-0055_P,0.164030,211.70
J1852-0111_P,1.902100,457.10
J1852-0118,0.451473,285.46
J1852-0127,0.428980,427.90
J1852-0635,0.524159,173.60
J1852-0834_P,0.249320,190.10
J1852-0947,3.019694,239.30
J1852-1310,0.004315,44.96
J1852-2610,0.336337,56.81
J1853+0009,0.033395,192.40
J1853+0011,0.397889,568.80
J1853+0013,0.928596,309.60
J1853+0023,0.576939,205.60
J1853+0029,1.876758,227.39
J1853+0056,0.275578,180.90
J1853+0209_P,,350.00
J1853+0237_P,0.427390,725.50
J1853+0259,0.585553,292.40
J1853+0312_P,0.438090,345.00
J1853+0353_P,,379.00
J1853+0427,1.320659,549.30
J1853+0505,0.905137,279.00
J1853+0545,0.126400,197.91
J1853+0853,3.914658,237.00
J1853+1303,0.004092,30.57
J1853-0003_P,0.171520,667.20
J1853-0004,0.101437,437.87
J1853-0008A_,0.002825,285.20
J1853-0008_P,0.002820,285.30
J1853-0009_P,0.721100,443.10
J1853-0014_P,0.563270,70.50
J1853-0049_P,0.016780,405.40
J1853-0054_P,0.308340,442.90
J1853-0130_P,1.945000,344.00
J1853-0649,1.048132,44.54
J1853-0842A,0.002149,155.14
J1854+0012_P,0.002710,204.10
J1854+0050,0.767280,529.20
J1854+0131_P,2.043850,474.90
J1854+0306,4.557820,192.00
J1854+0317,1.366450,390.00
J1854+0319,0.628541,480.20
J1854+0358_P,0.590840,486.50
J1854+0704_P,0.450900,10.80
J1854+0934_P,0.207170,186.40
J1854+0956_P,0.089010,53.30
J1854+0957_P,0.687640,116.70
J1854+1002_P,0.071010,190.50
J1854+1046B_,0.511000,90.80
J1854+1050,0.573197,207.20
J1854+36,1.300220,59.80
J1854+40,1.748000,37.00
J1854-0033_P,0.361470,617.50
J1854-0036,0.716856,491.89
J1854-0156_P,0.600790,280.60
J1854-0230_P,0.687500,550.50
J1854-05,1.279945,275.00
J1854-0514,1.279949,281.10
J1854-0524,0.544021,192.00
J1854-1421,1.146595,130.40
J1854-1557,3.453121,150.00
J1855+0033_P,,554.00
J1855+0139_P,0.444140,405.60
J1855+0205,0.246817,867.30
J1855+0228_P,0.253170,530.00
J1855+0235,0.983030,103.71
J1855+0240_P,1.224000,397.00
J1855+0306,1.633566,627.00
J1855+0307,0.845358,401.22
J1855+0327_P,0.782820,298.60
J1855+0339_P,1.761340,416.20
J1855+0422,1.678106,455.60
J1855+0424_P,2.220250,678.50
J1855+0455_P,0.101010,372.90
J1855+0511_P,1.421470,307.50
J1855+0527,1.393484,362.00
J1855+0626,0.528832,253.80
J1855+0700,0.258685,244.00
J1855-0054_P,,577.00
J1855-0115_P,2.562290,261.70
J1855-0149_P,0.004560,349.90
J1855-0154_P,,417.00
J1855-0211_P,,304.00
J1855-0221_P,0.002770,223.30
J1855-0941,0.345401,151.87
J1855-1436,0.003594,109.21
J1856+0011_P,0.928470,455.80
J1856+0029_P,0.376000,234.00
J1856+0102,0.620217,554.00
J1856+0113,0.267440,96.10
J1856+0211,9.890092,124.50
J1856+0243_P,0.546600,178.30
J1856+0245,0.080907,623.50
J1856+0404,0.420252,341.30
J1856+0528_P,,307.00
J1856+0615_P,0.326970,333.10
J1856+0711_P,0.611040,325.70
J1856+0805_P,0.276170,308.80
J1856+0912,2.170701,191.40
J1856+1000_P,0.004870,202.10
J1856+1059_P,0.311380,145.90
J1856-0018_P,0.282880,326.30
J1856-0039_P,0.023400,43.20
J1856-0041_P,0.519650,309.20
J1856-0105_P,0.868350,329.30
J1856-0134_P,0.381870,236.20
J1856-0235_P,0.535170,204.70
J1856-0526,0.370484,132.19
J1856-3754,7.055203,
J1857+0057,0.356929,82.47
J1857+0143,0.139760,249.40
J1857+0210,0.630983,783.00
J1857+0212,0.415857,504.92
J1857+0214,0.333918,982.00
J1857+0224,0.875874,398.00
J1857+0229_P,0.584000,574.00
J1857+0249_P,1.549880,604.00
J1857+0300,0.772678,691.00
J1857+0310_P,0.163120,588.50
J1857+0526,0.349951,464.79
J1857+0642_P,0.003531,21.59
J1857+07,0.029120,159.60
J1857+0809,0.502924,282.00
J1857+0943,0.005362,13.30
J1857-0026_P,0.022350,312.70
J1857-0110_P,0.496730,385.70
J1857-0117_P,1.222590,353.90
J1857-0125_P,0.001830,214.00
J1857-0230_P,0.035150,134.50
J1857-1027,3.687219,108.90
J1858+0026_P,4.714670,415.30
J1858+0215,0.745828,702.00
J1858+0239,0.197644,492.71
J1858+0241,4.693233,325.90
J1858+0244_P,0.002610,282.60
J1858+0310_P,0.372750,699.50
J1858+0319,0.867444,284.00
J1858+0346,0.256844,386.00
J1858+0453_P,3.761000,429.00
J1858+0609_P,0.484350,381.50
J1858+0724_P,0.007700,105.00
J1858-0024_P,0.400600,190.00
J1858-0055_P,2.846620,270.70
J1858-0113_P,1.532000,280.00
J1858-0128_P,0.007880,38.10
J1858-0736,0.551059,194.00
J1858-2216,0.002384,26.63
J1858-5422,0.002355,30.82
J1859+00,0.559636,423.00
J1859+0026A_,0.008572,334.10
J1859+0026B_,0.002330,191.60
J1859+0026_P,0.008570,334.10
J1859+0126_P,0.957700,531.70
J1859+0239B_,0.849000,624.00
J1859+0239_P,0.056110,250.90
J1859+0251_P,3.580000,286.00
J1859+0313_P,0.001610,107.70
J1859+0345,1.511509,559.00
J1859+0430,0.336325,782.90
J1859+0434_P,0.458340,320.10
J1859+0601,1.044313,272.40
J1859+0603,0.508561,379.00
J1859+0658_P,0.005110,290.40
J1859+07,,303.00
J1859+0832_P,,259.00
J1859+1526,0.933972,97.45
J1859+7654,1.393729,47.25
J1859-0152_P,0.903000,399.30
J1859-0224_P,0.006170,89.40
J1859-0233_P,,164.20
J1900+0213_P,0.032090,310.50
J1900+0227,0.374262,201.10
J1900+0308,0.004909,249.90
J1900+0405_P,0.072380,634.40
J1900+0438,0.312314,627.00
J1900+0634,0.389872,323.59
J1900+0715_P,0.970440,266.10
J1900+0732_P,1.709000,226.00
J1900+0908_P,,264.00
J1900+0947_P,0.002410,242.60
J1900+1017_P,0.371500,167.90
J1900+30,0.602227,71.83
J1900+4221,4.341134,68.14
J1900+5106,0.337759,71.60
J1900-0051,0.385194,136.55
J1900-0126_P,0.004000,145.50
J1900-0134,1.832332,178.10
J1900-0152_P,1.384000,314.00
J1900-0933,1.423889,162.70
J1900-2600,0.612209,37.99
J1900-7951,1.279193,39.00
J1901+00,0.777662,340.30
J1901+0020_P,0.214810,237.60
J1901+0124,0.318819,314.75
J1901+0156,0.288221,105.39
J1901+0234,0.885240,404.00
J1901+0254,1.299693,185.00
J1901+0300,0.007797,253.89
J1901+0315_P,0.819820,410.50
J1901+0320,0.636584,394.80
J1901+0331,0.655456,401.19
J1901+0355,0.554756,547.00
J1901+0413,2.663080,352.00
J1901+0435,0.690576,920.00
J1901+0459,0.877044,1108.00
J1901+0510,0.614757,435.50
J1901+0511,4.600369,410.00
J1901+0621,0.832002,94.00
J1901+0658,0.075744,125.88
J1901+0712_P,1.037710,332.40
J1901+0716,0.644001,252.61
J1901+1140_P,0.340710,183.30
J1901+13,0.740952,152.00
J1901+1306,1.830857,75.10
J1901+1316_P,0.740960,155.40
J1901-0015_P,0.517070,200.40
J1901-0104_P,0.739510,261.20
J1901-0125,0.002793,70.42
J1901-0312,0.355727,107.17
J1901-0315,0.801693,242.60
J1901-0906,1.781929,72.61
J1901-1740,1.956858,24.40
J1902+0011_P,0.005930,248.50
J1902+0235,0.415394,280.49
J1902+0248,1.223777,272.00
J1902+0556,0.746577,177.49
J1902+0557_P,,414.00
J1902+0615,0.673507,502.93
J1902+0717_P,0.356050,449.90
J1902+0723,0.487813,105.00
J1902+0809_P,0.190230,436.90
J1902+0909_P,0.689100,353.10
J1902+0926_P,0.605430,291.60
J1902+0938_P,0.045400,147.30
J1902+0953_P,0.677330,295.30
J1902+1022_P,0.501910,289.30
J1902+1141,0.409140,269.12
J1902+1234_P,0.474170,179.90
J1902-0012_P,14.308900,126.60
J1902-0107_P,0.006130,290.20
J1902-0340,1.524672,114.00
J1902-1036,0.786814,96.30
J1902-5105,0.001742,36.25
J1903+0135,0.729308,244.88
J1903+0317_P,0.521160,447.00
J1903+0319_P,1.854000,307.00
J1903+0327,0.002150,297.52
J1903+0415,1.151399,481.90
J1903+0433_P,14.049900,202.60
J1903+0534_P,0.357650,407.70
J1903+0601,0.374129,386.11
J1903+0654,0.791232,329.00
J1903+0829_P,0.004090,334.80
J1903+0830_P,0.004085,334.80
J1903+0839_P,0.004621,166.45
J1903+0845,0.153150,129.56
J1903+0851,1.231882,83.00
J1903+0912,0.166314,362.80
J1903+0925,0.357155,162.00
J1903+0949_P,0.325440,107.90
J1903+1728_P,1.716550,150.30
J1903+2225,0.651185,109.20
J1903-0258,0.301459,114.10
J1903-0632,0.431889,195.61
J1903-0848,0.887325,66.99
J1903-7051,0.003598,19.66
J1904+0004,0.139525,233.25
J1904+0050_P,0.496180,305.50
J1904+0056,0.438089,127.00
J1904+0056_P,0.005850,51.40
J1904+0100_P,1.308790,146.30
J1904+0207_P,0.005040,229.90
J1904+0358_P,0.751540,532.00
J1904+0412,0.071095,185.90
J1904+0415_P,0.231450,521.00
J1904+0451,0.006092,182.71
J1904+0519_P,1.680530,80.80
J1904+0535_P,0.603760,78.40
J1904+0553B_,0.574540,140.90
J1904+0553_P,0.004907,164.28
J1904+0603_P,1.974930,413.20
J1904+0621_P,1.232000,173.00
J1904+0738,0.208959,278.33
J1904+0800,0.263356,440.09
J1904+0823_P,1.507730,60.40
J1904+0836_P,0.004440,90.50
J1904+0852,0.006197,195.16
J1904+0945_P,1.567790,326.60
J1904+1011,1.856570,137.11
J1904+33,0.417000,81.04
J1904-0036_P,0.397130,254.30
J1904-0150,0.379387,162.20
J1904-11,0.002620,97.70
J1904-1224,0.750809,118.28
J1904-1629,1.541412,145.00
J1905+0154A,0.003193,193.69
J1905+0156_P,1.085000,137.00
J1905+0400,0.003784,25.69
J1905+0414,,383.00
J1905+0450_P,0.783300,442.30
J1905+0558_P,0.846000,472.00
J1905+0600,0.441210,728.44
J1905+0616,0.989797,256.05
J1905+0649_P,0.027464,187.67
J1905+0656,2.511763,24.20
J1905+0709,0.648044,244.28
J1905+0758,1.192649,197.10
J1905+0849_P,1.034330,257.80
J1905+0902,0.218254,433.50
J1905+0920_P,0.170470,396.60
J1905+0936,1.634497,417.96
J1905+1034,1.726810,164.00
J1905+1200_P,,183.50
J1905-0046_P,0.760120,288.20
J1905-0056,0.643184,228.80
J1905-0128_P,1.070990,100.30
J1906+0055,0.002790,126.83
J1906+0310_P,,307.50
J1906+0335_P,1.296000,213.00
J1906+0352_P,0.285600,372.00
J1906+0414,1.043362,349.00
J1906+0454,0.002083,142.79
J1906+0509,0.397590,99.50
J1906+0641,0.267277,472.15
J1906+0646_P,0.355520,290.50
J1906+0649,1.286564,250.16
J1906+0722,0.111524,
J1906+0724,1.536490,476.40
J1906+0746,0.144073,217.75
J1906+0757,0.057189,79.10
J1906+0822_P,0.433440,367.90
J1906+0912,0.775345,265.97
J1906+1049_P,0.414590,279.10
J1906+1211_P,3.804990,292.40
J1906+1854,1.019093,156.77
J1906-0036_P,0.129430,260.00
J1906-0200_P,0.002530,138.40
J1906-1754,0.002876,98.09
J1907+0009_P,0.002370,83.00
J1907+0014_P,0.024530,172.60
J1907+0029_P,0.063640,120.40
J1907+0052_P,0.002920,162.90
J1907+0249,0.351879,261.00
J1907+0255,0.618761,257.00
J1907+0345,0.240153,311.70
J1907+0534,1.138403,524.00
J1907+0555_P,3.159000,150.00
J1907+0602,0.106633,82.10
J1907+0631,0.323648,429.40
J1907+0658_P,0.218340,523.00
J1907+0709_P,0.344100,278.10
J1907+0731,0.363686,239.97
J1907+0740,0.574698,334.66
J1907+0833,0.167628,511.68
J1907+0859,1.527042,190.00
J1907+0918,0.226107,357.80
J1907+0919,5.198346,
J1907+1149,1.420160,202.80
J1907+1247,0.827097,257.00
J1907+4002,1.235757,30.97
J1907+57,0.424000,54.63
J1907-0119_P,0.058990,154.80
J1907-1018,1.765776,90.99
J1907-1532,0.632235,72.60
J1908+0002_P,1.300000,76.80
J1908+0029_P,0.003420,165.30
J1908+0053_P,0.552900,210.40
J1908+0128,0.004702,75.06
J1908+0136_P,1.104130,310.40
J1908+0233_P,0.969160,237.80
J1908+0457,0.846793,360.00
J1908+0457_P,0.976470,356.70
J1908+0500,0.291023,201.24
J1908+0558,0.168678,457.70
J1908+0704_P,0.001990,41.40
J1908+0705_P,0.001991,41.40
J1908+0734,0.212353,11.10
J1908+0811_P,0.181640,300.10
J1908+0833,0.512111,700.00
J1908+0839,0.185397,512.00
J1908+0909,0.336578,466.02
J1908+0911_P,5.166000,132.00
J1908+0916,0.830270,250.41
J1908+0949_P,0.009050,220.30
J1908+1035_P,0.010690,10.90
J1908+1036,0.010690,10.91
J1908+1351,3.174832,180.59
J1908+2105,0.002564,61.91
J1908+2351,0.377578,101.69
J1908-0022_P,0.472510,174.30
J1909+0007,1.016953,112.76
J1909+0137_P,1.881420,330.70
J1909+0157_P,0.502580,249.10
J1909+0254,0.989836,171.73
J1909+0310_P,1.972050,111.00
J1909+0423_P,0.511580,254.90
J1909+0616,0.755993,352.00
J1909+0641,0.741762,36.70
J1909+0651_P,0.578070,33.60
J1909+0657_P,1.245890,59.90
J1909+0749,0.237161,539.36
J1909+0905_P,1.494880,250.60
J1909+0912,0.222972,423.05
J1909+0930_P,2.020780,479.60
J1909+1102,0.283643,149.82
J1909+1132_P,0.006800,276.10
J1909+1148,0.448945,199.80
J1909+1205,1.229312,302.50
J1909+1338_P,3.864820,234.60
J1909+1450,0.996108,119.50
J1909+1859,0.542451,64.52
J1909-3744,0.002947,10.39
J1910+0130_P,0.005640,118.40
J1910+0225,0.337855,209.63
J1910+0358,2.330266,83.87
J1910+0423_P,0.093240,339.90
J1910+0435,0.664679,297.00
J1910+0517,0.308048,307.10
J1910+0534,0.452867,484.00
J1910+0710,0.538647,254.10
J1910+0714,2.712428,124.47
J1910+0728,0.325421,283.96
J1910+1017,0.411159,633.83
J1910+1026,0.531493,712.80
J1910+1054_P,0.003870,139.40
J1910+1117_P,1.321520,296.50
J1910+1231,1.441749,258.42
J1910+1256,0.004984,38.07
J1910+56,0.341900,20.75
J1910-0018_P,2.063560,110.10
J1910-0112,1.360603,178.00
J1910-0309,0.504606,205.40
J1910-0556,0.557609,88.30
J1910-5320,0.002332,24.42
J1910-5959A,0.003266,33.70
J1910-5959B,0.008358,33.28
J1910-5959C,0.005277,33.21
J1910-5959D,0.009035,33.28
J1910-5959E,0.004572,33.31
J1910-5959F,0.008485,33.20
J1911+00,6.940000,100.00
J1911+0101A,0.003619,202.68
J1911+0101B,0.005384,196.69
J1911+0305_P,0.005860,147.00
J1911+0310_P,1.333000,167.70
J1911+0314_P,0.531160,167.30
J1911+0329_P,0.058230,210.10
J1911+0751_P,0.796910,220.70
J1911+0906_P,16.925900,24.30
J1911+0921,0.273707,340.10
J1911+0925,0.323858,486.60
J1911+0939_P,0.365470,597.30
J1911+1017_P,1.337000,162.00
J1911+1051,0.190873,445.21
J1911+1206_P,0.003440,181.70
J1911+1252_P,0.027240,68.80
J1911+1253,0.027239,68.69
J1911+1301,1.010462,389.00
J1911+1336,0.299992,323.95
J1911+1347,0.004626,30.98
J1911+1440_P,0.582470,87.20
J1911+1525_P,3.282490,299.80
J1911+1758,0.460406,48.98
J1911-0129_P,1.126810,204.80
J1911-1114,0.003626,30.97
J1912+0735_P,3.685070,160.40
J1912+0934_P,0.897470,143.80
J1912+1000_P,3.053000,147.00
J1912+1036,0.409349,147.00
J1912+1105_P,0.670710,150.40
J1912+1416,0.003166,66.67
J1912+1417_P,0.003170,66.60
J1912+2104,2.232969,88.60
J1912+2525,0.621976,37.85
J1912-0952,0.025068,126.35
J1913+0153_P,0.003230,114.30
J1913+0400_P,0.390530,125.40
J1913+0446,1.616130,109.10
J1913+0453_P,0.006090,297.00
J1913+0458_P,0.444790,103.80
J1913+0523,0.661997,333.60
J1913+0618,0.005027,155.99
J1913+0655_P,0.754450,256.80
J1913+0657,1.257181,142.00
J1913+0832,0.134412,355.90
J1913+0837_P,2.470460,385.80
J1913+0904,0.163251,96.84
J1913+0936,1.241965,157.00
J1913+1000,0.837158,422.99
J1913+1011,0.035911,178.49
J1913+1037_P,0.434210,437.00
J1913+1050,0.190067,231.10
J1913+1054_P,0.450620,338.00
J1913+1058_P,,175.90
J1913+1102,0.027285,338.96
J1913+11025,0.923872,626.00
J1913+1145,0.306072,643.47
J1913+1330,0.923391,175.64
J1913+1400,0.521473,145.05
J1913+3732,0.851079,72.33
J1913-0440,0.825940,89.39
J1914+0219,0.457527,235.43
J1914+0219_P,2.018190,161.40
J1914+0625,0.878889,204.33
J1914+0631,0.693811,58.51
J1914+0659,0.018512,225.34
J1914+0805,0.455499,344.40
J1914+0838,0.440040,290.70
J1914+0905_P,0.617230,296.70
J1914+1029_P,2.484990,59.70
J1914+1053_P,,108.00
J1914+1054_P,0.138870,418.70
J1914+1122,0.600998,100.35
J1914+1228_P,2.277550,312.00
J1914+1428,1.159520,220.90
J1914+2636,0.459114,59.03
J1915+0227,0.317306,192.11
J1915+0353_P,0.051640,103.00
J1915+0411_P,0.724000,233.90
J1915+0601_P,0.004010,151.80
J1915+0639,0.644140,212.32
J1915+0720_P,0.005690,122.10
J1915+0738,1.542707,39.04
J1915+0752,2.058314,105.30
J1915+0832_P,2.710090,36.20
J1915+0838,0.342778,358.24
J1915+1009,0.404554,241.58
J1915+1045_P,1.546000,123.00
J1915+1145,0.173647,337.78
J1915+1150,0.100041,699.83
J1915+1410,0.297494,273.70
J1915+1606,0.059030,168.77
J1915+1647,1.616231,62.57
J1915+1714_P,2.000940,57.10
J1915-11,2.177000,91.06
J1916+0740,0.011220,219.86
J1916+0741_P,0.011220,220.10
J1916+0748,0.541752,304.00
J1916+07481,0.867880,153.60
J1916+0844,0.439997,339.28
J1916+0852,2.182746,295.00
J1916+0937_P,7.368000,186.00
J1916+0951,0.270257,60.90
J1916+1023,1.618339,341.80
J1916+1030,0.628970,388.21
J1916+10305,0.349380,519.70
J1916+1142A_,,260.00
J1916+1142B_,1.188000,318.00
J1916+1225,0.227387,265.31
J1916+1244_P,0.163150,222.90
J1916+1312,0.281846,236.93
J1916+1428_P,1.123310,104.60
J1916+3224,1.137450,84.11
J1916+38,0.514000,77.00
J1916-2939,1.248617,38.34
J1917+0543_P,0.005440,137.40
J1917+0615_P,0.003968,172.47
J1917+0743,0.813453,198.90
