
index,JNAME,P0,P1,F0,F1,DM,
163,J0335+4555,0.269201,7.35e-18,3.714703,-1.014e-16,47.15,
164,J0335+6623,1.761934,4.81e-15,0.567558,-1.550e-15,66.73,
165,J0337+1715,0.002733,1.77e-20,365.953363,-2.366e-15,21.32,
166,J0337+79,2.056210,,0.486332,,16.67,
167,J0340+4130,0.003299,7.05e-21,303.090979,-6.474e-16,49.58,
168,J0341+5711,1.888000,,0.529661,,101.00,
169,J0343+06,1.007640,,0.992418,,46.00,
170,J0343+5312,1.934478,1.34e-14,0.516935,-3.587e-15,67.30,
171,J0343-3000,2.597027,3.91e-17,0.385056,-5.800e-18,20.26,
172,J0344-0901,1.226006,3.47e-15,0.815657,-2.309e-15,30.90,
173,J0348+0432,0.039123,2.41e-19,25.560637,-1.576e-16,40.46,
174,J0349+2340,2.420771,1.10e-15,0.413092,-1.876e-16,62.96,
175,J0355+28,0.364950,,2.740101,,48.68,
176,J0357+3205,0.444104,1.30e-14,2.251722,-6.610e-14,,
177,J0357+5236,0.197030,4.77e-16,5.075367,-1.228e-14,103.71,
178,J0358+4155,0.226484,1.46e-16,4.415316,-2.843e-15,46.33,
179,J0358+5413,0.156384,4.39e-15,6.394511,-1.797e-13,57.14,
180,J0358+6627,0.091506,1.09e-17,10.928271,-1.300e-15,62.33,
181,J0359+5414,0.079427,1.67e-14,12.590140,-2.652e-12,,
182,J0401-7608,0.545254,1.54e-15,1.834006,-5.193e-15,21.75,
183,J0402+4825,0.512194,2.75e-16,1.952384,-1.050e-15,85.70,
184,J0405+3347,0.063954,1.64e-19,15.636251,-4.000e-17,53.60,
185,J0406+30,0.002600,,384.615385,,49.37,
186,J0406+3039,0.002609,8.31e-21,383.339448,-1.221e-15,49.38,
187,J0406+6138,0.594576,5.57e-15,1.681870,-1.576e-14,65.41,
188,J0407+1607,0.025702,7.90e-20,38.907873,-1.196e-16,35.59,
189,J0408+4955_P,0.011440,,87.412587,,73.70,
190,J0408+551,1.837000,,0.544366,,55.00,
191,J0408+552,0.754000,,1.326260,,63.80,
192,J0410-31,1.878500,,0.532340,,9.20,
193,J0413+58,0.687000,,1.455604,,57.00,
194,J0414+31,1.081000,,0.925069,,64.10,
195,J0414+4859_P,0.806720,,1.239587,,72.70,
196,J0415+6111,0.440189,5.01e-17,2.271749,-2.587e-16,70.80,
197,J0415+6954,0.390715,7.66e-17,2.559410,-5.018e-16,27.45,
198,J0416+5201_P,0.018250,,54.794521,,140.50,
199,J0417+35,0.654400,,1.528117,,48.53,
200,J0417+5058_P,0.291360,,3.432180,,34.40,
201,J0417+61,0.440283,,2.271266,,70.14,
202,J0418+5732,9.078388,4.10e-15,0.110152,-4.975e-17,,
203,J0418+6635,0.002910,1.37e-20,343.620798,-1.613e-15,77.56,
204,J0418-4154,0.757119,1.32e-15,1.320796,-2.302e-15,24.32,
205,J0419+44,1.241000,,0.805802,,71.00,
206,J0420+4451,1.241126,5.92e-16,0.805720,-3.846e-16,71.67,
207,J0420-5022,3.453004,2.76e-14,0.289603,-2.314e-15,,
208,J0421+3255,0.900105,6.00e-17,1.110981,-7.406e-17,77.02,
209,J0421-0345,2.161309,1.16e-15,0.462682,-2.491e-16,44.88,
210,J0426+4933,0.922475,3.93e-14,1.084041,-4.624e-14,84.30,
211,J0427+4723,2.158436,2.39e-14,0.463298,-5.126e-15,54.00,
212,J0435+2749,0.326279,8.17e-18,3.064857,-7.670e-17,53.19,
213,J0437-4715,0.005757,5.73e-20,173.687946,-1.728e-15,2.65,
214,J0447+2447,0.002995,8.00e-21,333.858342,-8.913e-16,32.91,
215,J0447-04,2.188190,,0.456999,,29.83,
216,J0448-2749,0.450448,1.48e-16,2.220010,-7.311e-16,26.15,
217,J0449-7031,0.479164,3.37e-15,2.086968,-1.468e-14,65.83,
218,J0450-1248,0.438014,1.03e-16,2.283031,-5.350e-16,37.04,
219,J0451-67,0.245454,0.00e+00,4.074078,-0.000e+00,45.00,
220,J0452-1759,0.548939,5.75e-15,1.821695,-1.909e-14,39.90,
221,J0452-3418,1.665119,2.77e-15,0.600558,-1.001e-15,19.78,
222,J0453+1559,0.045782,1.86e-19,21.842733,-8.880e-17,30.31,
223,J0454+4529,1.389137,4.89e-15,0.719871,-2.533e-15,20.83,
224,J0454+5543,0.340729,2.37e-15,2.934880,-2.043e-14,14.59,
225,J0455-6951,0.320423,1.02e-14,3.120877,-9.946e-14,94.70,
226,J0456-69,0.117073,,8.541675,,103.00,
227,J0456-7031,0.800132,3.67e-14,1.249794,-5.732e-14,100.30,
228,J0457+23,0.504900,,1.980590,,59.00,
229,J0457-6337,2.497012,2.10e-16,0.400479,-3.368e-17,27.50,
230,J0457-69,0.231390,,4.321701,,91.00,
231,J0458-0505,1.883480,5.30e-16,0.530932,-1.494e-16,47.81,
232,J0458-67,1.133900,,0.881912,,97.00,
233,J0459-0210,1.133077,1.40e-15,0.882552,-1.089e-15,21.23,
234,J0501+4516,5.762097,5.82e-12,0.173548,-1.752e-13,,
235,J0502+4654,0.638565,5.58e-15,1.566010,-1.369e-14,41.83,
236,J0502-6617,0.691251,2.31e-14,1.446652,-4.832e-14,68.90,
237,J0506+50,0.003390,,294.985251,,43.40,
238,J0509+0856,0.004056,4.41e-21,246.558157,-2.682e-16,38.33,
239,J0509+37,2.496100,,0.400625,,30.00,
240,J0509+3801,0.076541,7.93e-18,13.064834,-1.354e-15,69.08,
241,J0509-6838,0.278754,,3.587398,,149.00,
242,J0509-6845,0.307197,,3.255239,,92.60,
243,J0511-6508,0.322062,2.07e-16,3.104993,-1.997e-15,25.66,
244,J0514+4010_P,2.625490,,0.380881,,106.50,
245,J0514-4002A,0.004991,6.97e-22,200.377707,-2.800e-17,52.14,
246,J0514-4002B,0.002816,,355.075809,,52.08,
247,J0514-4002C,0.005565,,179.700978,,52.05,
248,J0514-4002D,0.004554,,219.567890,,52.22,
249,J0514-4002E,0.005596,-2.29e-30,178.700750,7.300e-26,51.93,
250,J0514-4002F,0.004329,,230.978889,,51.62,
251,J0514-4002G,0.003803,,262.964132,,50.96,
252,J0514-4002H,0.005506,,181.616752,,52.23,
253,J0514-4002I,0.032654,,30.623932,,52.58,
254,J0514-4002J,0.006633,,150.763618,,52.02,
255,J0514-4002K,0.004692,,213.128730,,51.93,
256,J0514-4002L,0.002959,,337.974855,,51.24,
257,J0514-4002M,0.004798,,208.428863,,51.68,
258,J0514-4002N,0.005568,,179.600927,,51.07,
259,J0514-4408,0.320271,2.04e-15,3.122357,-1.991e-14,15.12,
260,J0517+2212,0.222367,1.16e-17,4.497080,-2.347e-16,18.70,
261,J0517+3436_P,1.595840,,0.626629,,191.70,
262,J0518+2431,2.636940,6.86e-16,0.379227,-9.860e-17,73.76,
263,J0518+5125,0.912512,1.91e-16,1.095876,-2.294e-16,39.24,
264,J0518+5416,0.340203,1.68e-15,2.939424,-1.448e-14,42.33,
265,J0518-6939,0.330210,,3.028376,,254.20,
266,J0518-6946,1.690414,,0.591571,,82.00,
267,J0519+44,0.515000,,1.941748,,52.00,
268,J0519-6931,0.377736,,2.647353,,82.70,
269,J0519-6932,0.263212,6.97e-16,3.799224,-1.006e-14,118.86,
270,J0520+3722_P,0.007920,,126.262626,,89.00,
271,J0520-2553,0.241642,3.01e-17,4.138350,-5.160e-16,33.72,
272,J0521-68,0.433421,,2.307227,,136.00,
273,J0522-6847,0.674532,1.77e-14,1.482510,-3.896e-14,126.45,
274,J0523-7125,0.322500,,3.100775,,157.50,
275,J0525+1115,0.354438,7.36e-17,2.821371,-5.859e-16,79.41,
276,J0525-6607,8.047000,6.50e-11,0.124270,-1.004e-12,,
277,J0526+3158_P,0.023000,,43.478261,,155.00,
278,J0528+2200,3.745539,4.01e-14,0.266984,-2.855e-15,50.87,
279,J0528+3529_P,0.078234,7.36e-19,12.782219,-1.202e-16,111.84,
280,J0529-0715,0.689224,5.75e-16,1.450908,-1.211e-15,87.30,
281,J0529-6652,0.975737,1.55e-14,1.024867,-1.625e-14,103.31,
282,J0530-3847,0.906502,6.21e-16,1.103142,-7.560e-16,48.56,
283,J0530-39,0.907000,,1.102536,,48.50,
284,J0532-6639,0.642743,5.35e-15,1.555832,-1.296e-14,69.20,
285,J0532-69,1.149196,,0.870174,,124.00,
286,J0533+0402,0.963018,1.61e-16,1.038402,-1.732e-16,83.86,
287,J0533+6759,0.004388,1.26e-20,227.885949,-6.553e-16,57.37,
288,J0533-4524,0.157285,2.80e-16,6.357905,-1.133e-14,18.93,
289,J0534+2200,0.033392,4.21e-13,29.946923,-3.775e-10,56.77,
290,J0534+34,,,,,24.50,
291,J0534-13,0.979000,,1.021450,,74.30,
292,J0534-6703,1.817565,4.25e-13,0.550187,-1.287e-13,95.30,
293,J0534-6905,0.842782,,1.186546,,244.00,
294,J0535-66,0.210524,,4.750044,,75.00,
295,J0535-6935,0.200511,1.15e-14,4.987249,-2.860e-13,93.70,
296,J0536-7543,1.245856,5.75e-16,0.802661,-3.707e-16,18.58,
297,J0537-69,0.112613,,8.879953,,273.00,
298,J0537-6910,0.016122,5.18e-14,62.026190,-1.992e-10,,
299,J0538+2817,0.143158,3.67e-15,6.985276,-1.790e-13,39.57,
300,J0540+3207,0.524271,4.48e-16,1.907411,-1.630e-15,61.97,
301,J0540+4542,0.401141,1.17e-17,2.492886,-7.270e-17,56.12,
302,J0540-6919,0.050570,4.79e-13,19.774686,-1.873e-10,147.20,
303,J0540-69_P,0.909000,,1.100110,,52.70,
304,J0540-7125,1.286015,8.20e-16,0.777596,-4.958e-16,29.41,
305,J0541+2959_P,0.003210,,311.526480,,67.30,
306,J0541+3335_P,0.113650,,8.798944,,89.20,
307,J0542-68,0.425189,,2.351895,,114.00,
308,J0543+2329,0.245975,1.54e-14,4.065458,-2.549e-13,77.70,
309,J0543-6851,0.708954,3.94e-15,1.410528,-7.839e-15,134.90,
310,J0544+20,,,,,56.90,
311,J0545-03,1.073930,,0.931159,,67.20,
312,J0546+2441,2.843850,7.65e-15,0.351636,-9.459e-16,73.81,
313,J0550+09,1.745000,,0.573066,,86.60,
314,J0553+4111,0.559493,1.37e-17,1.787331,-4.390e-17,37.90,
315,J0554+3107,0.464961,1.43e-13,2.150718,-6.596e-13,,
316,J0555+3948,1.146906,,0.871911,,36.10,
317,J0555-7056,0.827838,5.96e-15,1.207966,-8.697e-15,72.90,
318,J0556-67,0.790549,,1.264943,,71.00,
319,J0557+1550,0.002556,7.35e-21,391.180128,-1.125e-15,102.57,
